央视频道,#genre#
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8$蓝光8M
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8$蓝光
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225846/index.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225811/index.m3u8
CCTV9,http://117.169.124.36:6610/ysten-businessmobile/live/CCTV-news/1.m3u8
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8$蓝光8M
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8$蓝光
CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225822/index.m3u8
CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225888/index.m3u8
CCTV10,http://117.169.124.36:6610/ysten-businessmobile/live/CCTV-10/1.m3u8
CCTV11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8$蓝光
CCTV11,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV11,http://39.135.138.59:18890/PLTV/88888910/224/3221225889/index.m3u8
CCTV11,http://117.169.124.36:6610/ysten-businessmobile/live/CCTV-11/1.m3u8
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8$蓝光8M
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8$蓝光
CCTV12,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.135.138.59:18890/PLTV/88888910/224/3221225823/index.m3u8
CCTV12,http://39.135.138.59:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV12,http://39.135.138.59:18890/PLTV/88888910/224/3221225890/index.m3u8
CCTV12,http://117.169.124.36:6610/ysten-businessmobile/live/CCTV-12/1.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8$蓝光
CCTV13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://39.135.138.59:18890/PLTV/88888910/224/3221225805/index.m3u8
CCTV13,http://117.169.124.36:6610/ysten-businessmobile/live/CCTV-13/1.m3u8
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225640/index.m3u8$蓝光8M
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8$蓝光
CCTV14,http://39.135.138.59:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV14,http://39.135.138.59:18890/PLTV/88888910/224/3221225824/index.m3u8
CCTV14,http://39.135.138.59:18890/PLTV/88888910/224/3221225640/index.m3u8
CCTV14,http://39.135.138.59:18890/PLTV/88888910/224/3221225806/index.m3u8
CCTV14,http://117.169.124.36:6610/ysten-businessmobile/live/CCTV-14/1.m3u8
CCTV15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8$蓝光
CCTV15,http://39.135.138.59:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV15,http://39.135.138.59:18890/PLTV/88888910/224/3221225891/index.m3u8
CCTV15,http://117.169.124.36:6610/ysten-businessmobile/live/CCTV-15/1.m3u8
CCTV17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8$蓝光4M
CCTV17,http://39.135.138.59:18890/PLTV/88888910/224/3221225907/index.m3u8
CCTV17,http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8
CCTV17,http://39.135.138.59:18890/PLTV/88888910/224/3221225909/index.m3u8
CCTV17,http://117.169.124.37:6610/ysten-businessmobile/live/-4000k-1080P-CCTV-17/1.m3u8
CETV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225661/index.m3u8$蓝光
CETV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225661/index.m3u8
CETV4,http://39.135.138.59:18890/PLTV/88888910/224/3221225937/index.m3u8
CGTN,http://39.135.138.59:18890/PLTV/88888910/224/3221225747/index.m3u8
CGTN,http://39.135.138.59:18890/PLTV/88888910/224/3221225896/index.m3u8
CGTN纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225645/index.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8$蓝光
纯享4K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8




卫视频道,#genre#
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8$蓝光8M
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8$蓝光
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225840/index.m3u8
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225839/index.m3u8
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225813/index.m3u8
北京卫视,http://117.169.124.37:6610/ysten-businessmobile/live/beijingstv/yst.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8$蓝光8M
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8$蓝光
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225858/index.m3u8
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225857/index.m3u8
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225864/index.m3u8
浙江卫视,http://117.169.124.37:6610/ysten-businessmobile/live/zhejiangstv/yst.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8$蓝光8M
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8$蓝光
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225818/index.m3u8
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225817/index.m3u8
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225833/index.m3u8
湖南卫视,http://117.169.124.37:6610/ysten-businessmobile/live/hunanstv/1.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8$蓝光8M
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8$蓝光
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225854/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225853/index.m3u8
东方卫视,http://117.169.124.37:6610/ysten-businessmobile/live/dongfangstv/yst.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8$蓝光8M
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8$蓝光
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225743/index.m3u8
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225856/index.m3u8
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225855/index.m3u8
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225881/index.m3u8
江苏卫视,http://117.169.124.37:6610/ysten-businessmobile/live/jiangsustv/yst.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8$蓝光
